LogID,Timestamp,SourceIP,DestinationIP,DataVolume,AnomalyScore
NET_1,2023-03-13 05:10:00,192.168.105.13,10.0.39.35,81.02804020686924,0.8749589957788244
NET_2,2023-08-21 17:04:00,192.168.118.254,10.0.98.96,481.5228207097726,0.428452682388318
NET_3,2023-05-03 16:57:00,192.168.216.126,10.0.157.236,95.73301554281203,0.23136004792978826
NET_4,2023-05-06 03:49:00,192.168.235.19,10.0.191.234,19.86082958216974,0.12523170252821625
NET_5,2023-12-19 02:58:00,192.168.135.104,10.0.66.47,95.1849478645402,0.965661521450449
NET_6,2023-08-30 16:29:00,192.168.253.217,10.0.155.19,117.13823644486168,0.5021134924234576
NET_7,2023-05-14 09:52:00,192.168.49.228,10.0.41.229,464.8507279150778,0.7966488884029191
NET_8,2023-10-25 03:45:00,192.168.115.170,10.0.45.12,444.22920747628484,0.8987587744575842
NET_9,2023-04-17 08:16:00,192.168.71.60,10.0.135.67,314.1230564207615,0.19463165046678688
NET_10,2023-02-03 03:50:00,192.168.169.86,10.0.118.178,78.76938629626727,0.7858395143390959
NET_11,2023-03-04 06:17:00,192.168.30.227,10.0.94.10,72.9057641962818,0.2447379763465355
NET_12,2023-03-21 15:37:00,192.168.43.93,10.0.231.193,137.64336431961033,0.12642319676296276
NET_13,2023-05-06 04:28:00,192.168.27.107,10.0.195.179,444.4142171108546,0.2715785007729786
NET_14,2023-03-31 20:04:00,192.168.172.153,10.0.219.42,260.9060784334387,0.637871656591754
NET_15,2023-04-15 02:37:00,192.168.9.229,10.0.159.7,473.9967930462078,0.7642636294868496
NET_16,2023-05-29 22:29:00,192.168.110.5,10.0.150.166,391.46030101682976,0.9738007386993489
NET_17,2023-10-13 06:46:00,192.168.41.40,10.0.76.156,35.89976797642788,0.3864250755972536
NET_18,2023-07-30 11:47:00,192.168.251.163,10.0.91.114,427.3899832285292,0.032963861743749434
NET_19,2023-07-01 13:03:00,192.168.98.254,10.0.70.72,77.76697577808429,0.06406594912311747
NET_20,2023-02-15 19:35:00,192.168.57.21,10.0.105.175,137.1961673397676,0.4302411693410242
NET_21,2023-11-02 11:56:00,192.168.35.103,10.0.94.187,275.623226048481,0.19848986344239183
NET_22,2023-09-19 04:54:00,192.168.204.155,10.0.115.139,249.0195028126116,0.6618120989999681
NET_23,2023-09-17 21:21:00,192.168.206.162,10.0.62.189,49.948686707807376,0.4096646103967988
NET_24,2023-09-05 01:21:00,192.168.107.188,10.0.235.124,359.3269948042194,0.7619177907109222
NET_25,2023-07-15 04:18:00,192.168.78.94,10.0.173.217,286.1110617890168,0.5684335958652253
NET_26,2023-05-08 02:57:00,192.168.50.245,10.0.77.175,403.26320477753393,0.23964068476897882
NET_27,2023-01-04 05:33:00,192.168.29.134,10.0.153.41,495.9183997268815,0.4432984378251821
NET_28,2023-06-06 00:38:00,192.168.165.167,10.0.127.239,97.60748275601611,0.1836085779129496
NET_29,2023-05-17 19:08:00,192.168.35.114,10.0.211.160,43.11326904063542,0.9177290106200147
NET_30,2023-10-09 20:38:00,192.168.29.94,10.0.101.187,278.6152054639389,0.0944841603360842
NET_31,2023-08-05 07:00:00,192.168.206.185,10.0.108.20,39.742293756093865,0.5394551380710809
NET_32,2023-11-15 23:19:00,192.168.8.209,10.0.149.80,65.06701692576736,0.10146822254422405
NET_33,2023-01-16 17:19:00,192.168.158.91,10.0.135.125,276.35515269763835,0.7576779523941634
NET_34,2023-04-17 04:12:00,192.168.89.86,10.0.86.236,426.19542725922895,0.2577877446739343
NET_35,2023-10-06 18:27:00,192.168.122.37,10.0.230.188,129.03867425559307,0.16173606545774
NET_36,2023-05-17 12:38:00,192.168.103.170,10.0.157.71,374.03664558988964,0.985892872323093
NET_37,2023-02-15 04:05:00,192.168.202.219,10.0.18.127,122.10748692960203,0.48088941658100925
NET_38,2023-09-02 07:04:00,192.168.67.163,10.0.121.143,329.7492257914337,0.9421158151675846
NET_39,2023-11-28 01:01:00,192.168.66.237,10.0.86.153,144.66084728627467,0.22354494608442188
NET_40,2023-05-11 10:40:00,192.168.222.87,10.0.115.1,475.10686609169574,0.7845593656696113
NET_41,2023-02-20 03:34:00,192.168.137.224,10.0.233.68,369.1801863940151,0.8049692175723928
NET_42,2023-04-29 07:09:00,192.168.118.83,10.0.138.65,197.16032463756008,0.6624264595753524
NET_43,2023-02-09 01:02:00,192.168.50.92,10.0.65.19,207.64443308162413,0.9852717738311
NET_44,2023-08-27 05:24:00,192.168.147.132,10.0.143.194,398.79516322803835,0.6065343032204547
NET_45,2023-01-03 03:40:00,192.168.144.249,10.0.56.164,142.11384230749644,0.31526699458768914
NET_46,2023-06-20 18:01:00,192.168.65.212,10.0.34.240,211.31150381392953,0.1961269625260167
NET_47,2023-12-26 16:49:00,192.168.123.132,10.0.231.151,229.96641134732783,0.5737126660851811
NET_48,2023-03-19 10:11:00,192.168.207.219,10.0.160.91,423.8568385516064,0.6485137448793984
NET_49,2023-06-25 19:42:00,192.168.95.39,10.0.35.199,173.3430800964832,0.3842336526613708
NET_50,2023-01-23 22:48:00,192.168.72.177,10.0.130.201,72.54855135977911,0.38786043300107376
