LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate
1,24-01-2122,00:00:00,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.19.102:54106 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
2,24-01-2122,00:00:00,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906,E22,BLOCK* NameSystem.allocateBlock:<*>
3,24-01-2122,00:00:00,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.10.6:40524 dest: /10.250.10.6:50010,E5,Receiving block <*> src: /<*> dest: /<*>
4,24-01-2122,00:00:00,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.14.224:42420 dest: /10.250.14.224:50010,E5,Receiving block <*> src: /<*> dest: /<*>
5,24-01-2122,00:00:00,145,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-1608999687919862906 terminating,E11,PacketResponder <*> for block <*> terminating
6,24-01-2122,00:00:00,145,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-1608999687919862906 terminating,E11,PacketResponder <*> for block <*> terminating
7,24-01-2122,00:00:00,145,INFO,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.10.6,E9,Received block <*> of size <*> from /<*>
8,24-01-2122,00:00:00,145,INFO,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.19.102,E9,Received block <*> of size <*> from /<*>
9,24-01-2122,00:00:00,147,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-1608999687919862906 terminating,E11,PacketResponder <*> for block <*> terminating
10,24-01-2122,00:00:00,147,INFO,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.14.224,E9,Received block <*> of size <*> from /<*>
11,24-01-2122,00:00:00,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862906 size 91178,E26,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
12,24-01-2122,00:00:00,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.209:50010 is added to blk_-1608999687919862906 size 91178,E26,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
13,24-01-2122,00:00:00,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.224:50010 is added to blk_-1608999687919862906 size 91178,E26,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
14,24-01-2122,00:00:00,142,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.251.215.16:55695 dest: /10.251.215.16:50010,E5,Receiving block <*> src: /<*> dest: /<*>
15,24-01-2122,00:00:00,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.250.19.102:34232 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
16,24-01-2122,00:00:00,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.split. blk_7503483334202473044,E22,BLOCK* NameSystem.allocateBlock:<*>
17,24-01-2122,00:00:00,143,INFO,dfs.DataNode$DataXceiver,Received block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010 of size 91178,E6,Received block <*> src: /<*> dest: /<*> of size <*>
18,24-01-2122,00:00:00,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010,E5,Receiving block <*> src: /<*> dest: /<*>
19,24-01-2122,00:00:00,144,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.251.71.16:51590 dest: /10.251.71.16:50010,E5,Receiving block <*> src: /<*> dest: /<*>
20,24-01-2122,00:00:00,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3544583377289625738 src: /10.250.19.102:39325 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
21,24-01-2122,00:00:00,145,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_7503483334202473044 terminating,E11,PacketResponder <*> for block <*> terminating
22,24-01-2122,00:00:00,145,INFO,dfs.DataNode$PacketResponder,Received block blk_7503483334202473044 of size 233217 from /10.251.215.16,E9,Received block <*> of size <*> from /<*>
23,24-01-2122,00:00:00,146,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_7503483334202473044 terminating,E11,PacketResponder <*> for block <*> terminating
24,24-01-2122,00:00:00,146,INFO,dfs.DataNode$PacketResponder,Received block blk_7503483334202473044 of size 233217 from /10.251.71.16,E9,Received block <*> of size <*> from /<*>
25,24-01-2122,00:00:00,147,INFO,dfs.DataNode$DataTransfer,10.250.14.224:50010:Transmitted block blk_-1608999687919862906 to /10.251.215.16:50010,E16,<*>:Transmitted block <*> to /<*>
26,24-01-2122,00:00:00,147,INFO,dfs.DataNode$DataXceiver,Received block blk_-1608999687919862906 src: /10.250.14.224:35754 dest: /10.250.14.224:50010 of size 91178,E6,Received block <*> src: /<*> dest: /<*> of size <*>
27,24-01-2122,00:00:00,147,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.14.224:35754 dest: /10.250.14.224:50010,E5,Receiving block <*> src: /<*> dest: /<*>
28,24-01-2122,00:00:00,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_7503483334202473044 terminating,E11,PacketResponder <*> for block <*> terminating
29,24-01-2122,00:00:00,148,INFO,dfs.DataNode$PacketResponder,Received block blk_7503483334202473044 of size 233217 from /10.250.19.102,E9,Received block <*> of size <*> from /<*>
30,24-01-2122,00:00:00,19,INFO,dfs.DataNode,"10.250.14.224:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.215.16:50010, 10.251.71.193:50010",E18,<*> Starting thread to transfer block <*> to <*>
